pair,r pearsonr,p pearsonr,r partial_pearsonr,p partial_pearsonr,N,age statistic,% female
"('perc_r', 'vol-ctx--isthmuscingulate')","dt between 2.5-7 years, age all",-0.026706637367574466,0.6909670779643977,-0.04625388124367497,0.49293772059651586,224,60.2 (12.8),0.58
"('perc_r', 'vol-ctx--isthmuscingulate')","dt between 2.5-7 years, age younger than 60",-0.06323465739772063,0.5175868792207273,-0.06395446484368472,0.5168830484611114,107,49.6 (8.7),0.64
"('perc_r', 'vol-ctx--isthmuscingulate')","dt between 2.5-7 years, age between 60-70",-0.024102758128838754,0.848854815131736,-0.0693083722007205,0.5893681960558943,65,64.8 (2.8),0.62
"('perc_r', 'vol-ctx--isthmuscingulate')","dt between 2.5-7 years, age older than 70",0.016530776233348893,0.9074027028654688,-0.0004635296960884167,0.9974509653420541,52,76.3 (4.7),0.42
"('perc_r', 'vol-ctx--isthmuscingulate')",zzz_blank,,,,,,,
"('perc_r', 'vol-amygdala')","dt all, age all",0.023801204545556925,0.5532024103754946,-0.015061135963340012,0.7079679089041813,623,60.9 (12.5),0.55
"('perc_r', 'vol-amygdala')","dt all, age younger than 60",-0.05274312868874413,0.3750191818216443,-0.05390161968060316,0.36630874936188984,285,49.9 (7.9),0.61
"('perc_r', 'vol-amygdala')","dt all, age between 60-70",0.05104964874187815,0.4877667292090408,0.044086116507861026,0.5512677020925962,187,65.1 (2.9),0.58
"('perc_r', 'vol-amygdala')","dt all, age older than 70",-0.05294621716956504,0.5184991814182129,-0.039772226161023855,0.6301015860861274,151,76.6 (4.6),0.39
"('perc_r', 'vol-amygdala')","dt within 1 year, age all",0.0591728744253535,0.35737933483983036,0.027621566446584863,0.6689805551329449,244,60.8 (12.8),0.57
